Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Not Enrolled Ages 3+,NAME,county,state
258349.0,6746.0,7834.0,7980.0,4405.0,6330.0,7182.0,8292.0,4373.0,47054.0,2139.0,103670.0,64413.0,29819.0,14272.0,13974.0,4379.0,1251.0,718.0,39257.0,32158.0,6103.0,693.0,220.0,53.0,0.0,30.0,53320.0,2905.0,23413.0,764.0,6278.0,6603.0,3628.0,7360.0,1255.0,1341.0,1302.0,725.0,92011.0,1051.0,215.0,75.0,52.0,23384.0,678.0,5788.0,6524.0,3561.0,7498.0,1149.0,1158.0,1691.0,715.0,97288.0,784.0,236.0,77.0,97.0,20279.0,6819.0,13460.0,"Marin County, California",041,06
17789.0,363.0,438.0,371.0,258.0,381.0,305.0,539.0,328.0,1157.0,45.0,7345.0,4962.0,3026.0,849.0,677.0,242.0,120.0,48.0,2383.0,1885.0,457.0,41.0,0.0,0.0,0.0,0.0,3285.0,315.0,1260.0,0.0,392.0,336.0,236.0,67.0,12.0,15.0,6.0,22.0,7310.0,57.0,31.0,29.0,0.0,1520.0,0.0,286.0,507.0,295.0,158.0,37.0,19.0,32.0,15.0,6928.0,92.0,0.0,0.0,18.0,2565.0,629.0,1936.0,"Mariposa County, California",043,06
87544.0,2488.0,2969.0,2590.0,1776.0,2580.0,2636.0,2489.0,1565.0,11136.0,207.0,34017.0,20243.0,9296.0,4193.0,3671.0,1921.0,846.0,316.0,13774.0,11153.0,2243.0,272.0,101.0,0.0,0.0,5.0,17722.0,954.0,8984.0,202.0,2674.0,2367.0,1668.0,662.0,100.0,176.0,108.0,49.0,32576.0,581.0,119.0,115.0,59.0,9399.0,371.0,2397.0,2299.0,1465.0,1203.0,241.0,191.0,186.0,62.0,31624.0,477.0,48.0,4.0,38.0,16670.0,5336.0,11334.0,"Mendocino County, California",045,06
263885.0,11009.0,11278.0,11657.0,7071.0,10554.0,10788.0,11100.0,6535.0,67255.0,1196.0,77692.0,59568.0,17810.0,12207.0,12108.0,9758.0,4506.0,3179.0,18124.0,14436.0,2627.0,581.0,246.0,211.0,0.0,23.0,64548.0,4127.0,39971.0,1897.0,10463.0,11158.0,6560.0,1674.0,201.0,423.0,400.0,160.0,85385.0,2789.0,392.0,99.0,351.0,39812.0,1185.0,10063.0,10668.0,6249.0,2350.0,246.0,308.0,350.0,174.0,81926.0,2478.0,417.0,82.0,112.0,62469.0,28150.0,34319.0,"Merced County, California",047,06
9184.0,181.0,256.0,345.0,191.0,223.0,207.0,310.0,171.0,566.0,0.0,3745.0,2194.0,1203.0,332.0,278.0,250.0,104.0,27.0,1551.0,1368.0,176.0,7.0,0.0,0.0,0.0,0.0,1660.0,138.0,709.0,19.0,193.0,252.0,156.0,158.0,6.0,56.0,93.0,3.0,3712.0,71.0,7.0,0.0,32.0,769.0,36.0,168.0,279.0,171.0,81.0,0.0,39.0,31.0,0.0,3548.0,65.0,0.0,0.0,0.0,1648.0,320.0,1328.0,"Modoc County, California",049,06
14146.0,176.0,322.0,467.0,207.0,563.0,546.0,430.0,111.0,2364.0,154.0,4906.0,2740.0,1638.0,537.0,375.0,162.0,27.0,1.0,2166.0,1822.0,340.0,2.0,2.0,0.0,0.0,0.0,2762.0,55.0,1636.0,14.0,300.0,467.0,172.0,68.0,0.0,22.0,0.0,35.0,5462.0,17.0,0.0,0.0,0.0,1614.0,116.0,546.0,430.0,99.0,72.0,49.0,0.0,0.0,12.0,4970.0,219.0,0.0,0.0,0.0,676.0,161.0,515.0,"Mono County, California",051,06
428441.0,17106.0,16670.0,15245.0,9092.0,16242.0,15516.0,14973.0,8545.0,128986.0,2868.0,125402.0,90914.0,29636.0,18649.0,18633.0,12456.0,6284.0,5256.0,34488.0,27032.0,5909.0,831.0,331.0,282.0,59.0,44.0,101098.0,5987.0,54957.0,2149.0,15106.0,14062.0,8256.0,5130.0,593.0,622.0,1029.0,570.0,149506.0,4658.0,942.0,154.0,266.0,55244.0,2244.0,13978.0,14090.0,7838.0,4902.0,573.0,916.0,665.0,495.0,139662.0,4091.0,622.0,218.0,212.0,64779.0,26263.0,38516.0,"Monterey County, California",053,06
140295.0,4072.0,4176.0,4830.0,2840.0,3811.0,3922.0,4683.0,2766.0,32278.0,715.0,49494.0,34328.0,14436.0,6885.0,7188.0,3407.0,1541.0,871.0,15166.0,12040.0,2485.0,396.0,115.0,79.0,12.0,39.0,31916.0,1577.0,14813.0,496.0,3427.0,4466.0,2646.0,2697.0,385.0,622.0,328.0,167.0,49918.0,821.0,127.0,36.0,27.0,14822.0,382.0,3465.0,4195.0,2474.0,2571.0,200.0,293.0,439.0,260.0,50675.0,800.0,164.0,49.0,32.0,13236.0,4087.0,9149.0,"Napa County, California",055,06
98570.0,2295.0,2547.0,2525.0,1812.0,1995.0,2284.0,2645.0,1707.0,6160.0,226.0,40993.0,26119.0,14847.0,5206.0,4195.0,1159.0,463.0,249.0,14874.0,11811.0,2453.0,365.0,219.0,26.0,0.0,0.0,18460.0,753.0,8750.0,168.0,2279.0,2176.0,1671.0,1300.0,347.0,153.0,334.0,60.0,37270.0,432.0,115.0,15.0,81.0,9029.0,249.0,2013.0,2368.0,1536.0,1234.0,230.0,211.0,277.0,134.0,38610.0,487.0,60.0,0.0,37.0,11952.0,3794.0,8158.0,"Nevada County, California",057,06
3116069.0,97912.0,102797.0,103766.0,66463.0,93188.0,94822.0,102825.0,63477.0,950742.0,23953.0,1009353.0,727053.0,257780.0,160366.0,160412.0,80866.0,36061.0,31568.0,282300.0,214386.0,50764.0,10566.0,4546.0,1233.0,510.0,295.0,788391.0,38062.0,371509.0,10883.0,86536.0,93044.0,59981.0,61962.0,10987.0,12403.0,9489.0,5239.0,1050260.0,20173.0,3858.0,1233.0,1243.0,365411.0,9055.0,80842.0,92110.0,57073.0,66851.0,10019.0,11002.0,9573.0,5280.0,1088505.0,18412.0,2978.0,1142.0,1124.0,375792.0,148643.0,227149.0,"Orange County, California",059,06
