Year,COUNTY,ENROLLMENT,DTP#,cnty_vac_rate
2002,MENDOCINO,1002.0,894.0,89.22155688622755
2002,MERCED,4093.0,3997.0,97.65453212802345
2002,MODOC,122.0,112.0,91.80327868852459
2002,MONO,145.0,137.0,94.48275862068965
2002,MONTEREY,6258.0,6051.0,96.69223394055608
2002,NAPA,1554.0,1497.0,96.33204633204633
2002,NEVADA,1020.0,837.0,82.05882352941177
2002,ORANGE,43932.0,42150.0,95.94373122097788
2002,PLACER,4499.0,4168.0,92.64280951322516
2002,PLUMAS,198.0,187.0,94.44444444444444
2002,RIVERSIDE,27353.0,26557.0,97.08989873140058
2002,SACRAMENTO,18429.0,17074.0,92.64745781105866
2002,SAN BENITO,974.0,942.0,96.71457905544148
2002,SAN BERNARDINO,30290.0,29261.0,96.60283922086496
2002,SAN DIEGO,40554.0,38888.0,95.89189722345515
2002,SAN FRANCISCO,6551.0,6178.0,94.30621279194015
2002,SAN JOAQUIN,10174.0,9792.0,96.24533123648516
2002,SAN LUIS OBISPO,2623.0,2477.0,94.43385436523066
2002,SAN MATEO,8215.0,7777.0,94.66828971393791
2002,SANTA BARBARA,5578.0,5291.0,94.85478666188598
2002,SANTA CLARA,24470.0,23485.0,95.97466285247242
2002,SANTA CRUZ,3331.0,3035.0,91.11377964575202
2002,SHASTA,2077.0,1901.0,91.52623976889744
2002,SIERRA,23.0,21.0,91.30434782608695
2002,SISKIYOU,397.0,353.0,88.9168765743073
2002,SOLANO,5631.0,5441.0,96.6258213461197
2002,SONOMA,5616.0,5293.0,94.24857549857549
2002,STANISLAUS,8092.0,7805.0,96.45328719723183
2002,SUTTER,1345.0,1302.0,96.80297397769517
2002,TEHAMA,777.0,731.0,94.07979407979408
2002,TRINITY,85.0,84.0,98.82352941176471
2002,TULARE,7403.0,7202.0,97.28488450628123
2002,TUOLUMNE,519.0,461.0,88.82466281310212
2002,VENTURA,12308.0,11631.0,94.4995125121872
2002,YOLO,2430.0,2319.0,95.43209876543209
2002,YUBA,1209.0,1103.0,91.232423490488
2003,ALAMEDA,18161.0,17149.0,94.42761962447001
2003,AMADOR,289.0,277.0,95.8477508650519
2003,BUTTE,2369.0,2236.0,94.3858168003377
2003,CALAVERAS,441.0,409.0,92.7437641723356
2003,COLUSA,360.0,351.0,97.5
2003,CONTRA COSTA,13575.0,13073.0,96.30202578268877
2003,DEL NORTE,349.0,330.0,94.55587392550143
2003,EL DORADO,2022.0,1892.0,93.57072205736894
2003,FRESNO,15013.0,14699.0,97.90847931792447
2003,GLENN,439.0,433.0,98.63325740318906
2003,HUMBOLDT,1353.0,1204.0,88.98743532889874
2003,IMPERIAL,2619.0,2566.0,97.97632684230622
2003,INYO,179.0,175.0,97.76536312849163
2003,KERN,12473.0,11957.0,95.86306421871242
2003,KINGS,2276.0,2235.0,98.19859402460457
2003,LAKE,705.0,658.0,93.33333333333333
2003,LASSEN,410.0,342.0,83.41463414634146
2003,LOS ANGELES,142804.0,134754.0,94.36290299991596
2003,LPINE,14.0,12.0,85.71428571428571
2003,MADERA,2270.0,2179.0,95.99118942731278
2003,MARIN,2708.0,2465.0,91.02658788774004
2003,MARIPOSA,136.0,129.0,94.85294117647058
2003,MENDOCINO,981.0,872.0,88.88888888888889
2003,MERCED,4151.0,4037.0,97.25367381353891
2003,MODOC,126.0,115.0,91.26984126984127
2003,MONO,145.0,132.0,91.0344827586207
2003,MONTEREY,6415.0,6235.0,97.19407638347623
2003,NAPA,1597.0,1553.0,97.24483406386976
2003,NEVADA,1057.0,859.0,81.26773888363292
2003,ORANGE,43201.0,41303.0,95.60658318094488
2003,PLACER,4667.0,4323.0,92.62909792157703
2003,PLUMAS,181.0,171.0,94.47513812154696
2003,RIVERSIDE,28302.0,27554.0,97.35707723835772
2003,SACRAMENTO,18564.0,17103.0,92.12992889463477
2003,SAN BENITO,968.0,935.0,96.5909090909091
2003,SAN BERNARDINO,30065.0,29199.0,97.11957425577914
2003,SAN DIEGO,40041.0,38274.0,95.58702330111636
2003,SAN FRANCISCO,5926.0,5568.0,93.95882551468107
2003,SAN JOAQUIN,10449.0,10179.0,97.41602067183463
2003,SAN LUIS OBISPO,2525.0,2388.0,94.57425742574257
2003,SAN MATEO,8221.0,7828.0,95.21955966427443
2003,SANTA BARBARA,5640.0,5334.0,94.57446808510637
2003,SANTA CLARA,22575.0,21599.0,95.6766334440753
2003,SANTA CRUZ,3090.0,2812.0,91.00323624595468
2003,SHASTA,2149.0,2013.0,93.67147510469987
2003,SIERRA,26.0,24.0,92.3076923076923
2003,SISKIYOU,397.0,357.0,89.92443324937027
2003,SOLANO,5748.0,5582.0,97.11203897007655
2003,SONOMA,5752.0,5372.0,93.39360222531293
2003,STANISLAUS,8111.0,7841.0,96.67118727653803
2003,SUTTER,1387.0,1340.0,96.6113914924297
2003,TEHAMA,769.0,724.0,94.148244473342
2003,TRINITY,112.0,98.0,87.5
2003,TULARE,7619.0,7431.0,97.53248457802862
2003,TUOLUMNE,501.0,434.0,86.62674650698602
2003,VENTURA,11900.0,11274.0,94.73949579831933
2003,YOLO,2237.0,2156.0,96.37907912382656
2003,YUBA,1120.0,1012.0,90.35714285714286
2004,ALAMEDA,18127.0,17099.0,94.3289016384399
